Country,Region,Income group,The Cyber Defense Index,1. Critical infrastructure,1.1 Telecom infrastructure,1.2 Data centers,1.3 Secure servers,1.4 Perceived robustness,1.5 Critical infrastructure comprehensiveness,2. Cybersecurity resources,2.1 Digital security capacity,2.2 Data protection,2.3 Security tools and infrastructure effectiveness,3. Organizational capacity,3.1 E-participation,3.2 Government AI readiness,3.3 Strategic intent,3.4 Industry standards and practices,4. Policy commitment,4.1 Regulatory quality,4.2 Government effectiveness,4.3 Business perceptions of regulatory robustness,4.4 Cybersecurity framework comprehensiveness
Australia,East Asia & Pacific,High income,7.83,8.2,8.75,8.93,8.22,8.63,7.41,7.22,8.76,8.88,4.81,8.45,8.88,8.02,9,8.06,7.72,10,9.06,9.13,5.33
Brazil,Latin America & Caribbean,Upper middle income,4.75,4.63,5.39,3.92,4.64,4.47,4.03,5.87,8.33,5.5,4.53,4.24,7,3.89,4.02,2.87,3.04,1,1,4.61,3.84
Canada,North America,High income,6.94,6.45,7.28,8.79,8.23,3.08,5.48,7.12,8.86,7.75,5.44,7.29,8.13,9.17,5.09,6.99,7.04,9.33,9.4,6.35,5.45
China,East Asia & Pacific,Upper middle income,6.27,5.25,6.65,1.06,3,5.86,5.25,6.92,6.33,10,4.79,7.54,8.88,6.44,8.6,6.71,5.11,1.67,6.78,8.61,3.37
France,Europe & Central Asia,High income,6.78,6.33,8.59,7.63,8.09,3.31,3.99,8.29,8.82,10,6.53,6.48,7,9.03,4.29,5.82,4.54,7.83,8.12,2.87,2.57
Germany,Europe & Central Asia,High income,6.24,6.39,8.79,7.82,9.48,3.31,3.33,7.16,8.73,10,3.77,4.86,2.12,9.46,4.29,3.32,5.63,9.17,8.39,4.26,3.79
India,South Asia,Lower middle income,4.87,2.78,1,2.21,2.04,5.39,4.23,7.01,8.78,10,3.34,5.08,5.5,6.74,4.02,4.3,3.78,1.25,4.83,3.91,4.13
Indonesia,East Asia & Pacific,Upper middle income,3.46,3.3,4.14,3.1,3.95,1,2.86,4.72,7.48,4.38,3.13,1.79,2.12,2.34,1.05,1.7,3.1,2.58,5.23,2.35,2.69
Italy,Europe & Central Asia,High income,6.37,6.65,7.44,6.5,7.3,4.58,6.2,7.58,8.1,10,5.22,4.46,4.37,6.78,2.13,4.53,5.51,4.83,5.16,6,5.62
Japan,East Asia & Pacific,High income,6.71,7.09,9.33,4.4,7.45,5.86,5.43,6.49,8.93,8.88,2.88,6.92,9.63,8.98,6.17,4.03,6.15,8.5,8.72,5.48,4.42
Mexico,Latin America & Caribbean,Upper middle income,5.31,4.84,4.49,1.97,1.48,7.01,6.42,5.42,1,7.75,6.49,6.13,4.37,4.95,8.33,6.45,4.91,2.5,1.67,5.65,6.96
Netherlands,Europe & Central Asia,High income,7.61,7.72,9.4,1,9.95,6.32,6.44,8.01,8.55,10,6,7.02,8.88,7.04,5.9,6.7,7.22,9.75,9.66,6,5.81
Poland,Europe & Central Asia,High income,6.91,6.94,7.55,5.8,7.58,7.94,5.92,7.34,6.98,8.88,6.32,6.67,8.88,5.31,7.79,5.41,6.16,6.25,4.96,7.91,5.63
Saudi Arabia,Middle East & North Africa,High income,5.55,5.89,8.19,5.23,1,6.32,5.65,5.4,9.77,1,6.07,4.52,1,1,6.17,8.41,6.59,3.67,5.7,7.04,7.84
Republic of Korea,East Asia & Pacific,High income,7.41,7.74,10,4.38,5.56,4.24,7.9,7.72,9.27,8.88,5.73,6.4,10,5.32,5.09,5.99,7.34,7.08,8.79,6.35,7.34
Spain,Europe & Central Asia,High income,6.13,5.69,8.32,6.69,7.37,5.51,2.26,7.6,9.27,10,4.48,5.09,5.12,4.26,6.17,4.84,4.98,5.75,7.11,4.61,3.85
Switzerland,Europe & Central Asia,High income,6.45,7.52,9.71,10,9.77,2.39,5.47,6.29,3.6,10,5.05,4.85,7,6.63,4.29,2.42,6.8,9.25,10,3.57,6.31
Turkey,Europe & Central Asia,Upper middle income,4.26,4.31,5.03,5.59,5.74,1.69,3.54,5.59,8.77,5.5,3.52,2.9,6.63,3.31,1.59,1.18,2.88,2,3.01,1,4.31
United Kingdom,Europe & Central Asia,High income,6.79,6.58,9.29,8.53,8.1,4.24,3.62,7.57,9.77,7.75,5.94,6.85,9.25,10,3.75,5.22,5.31,9,8.19,2.17,4.45
United States of America,North America,High income,7.13,7.49,9.27,9.08,10,5.39,5,7.9,10,7.75,6.61,6,10,9.44,1.05,4.58,6.14,8.17,8.45,3.74,5.71
